iter	Logloss
0	0.6868439873
1	0.681391365
2	0.6754009976
3	0.6698192982
4	0.6642521336
5	0.6586624302
6	0.6531119031
7	0.6475670163
8	0.6432441215
9	0.6386101795
10	0.633748674
11	0.628553129
12	0.6243832339
13	0.6198445249
14	0.6151365625
15	0.6109055572
16	0.6070657781
17	0.6034203879
18	0.598924981
19	0.5942849054
20	0.5895801117
21	0.5853723524
22	0.5810952301
23	0.5771498472
24	0.5729307414
25	0.5691451024
26	0.5654701806
27	0.5625975562
28	0.559759907
29	0.5562397401
30	0.5526851559
31	0.549309497
32	0.5467867367
33	0.5433758993
34	0.5408333728
35	0.5378161746
36	0.5350254416
37	0.5322516794
38	0.5288870488
39	0.5259306531
40	0.5244880352
41	0.5216936499
42	0.5193139018
43	0.5168117084
44	0.5138149789
45	0.5111846968
46	0.5094215952
47	0.5065316998
48	0.504720691
49	0.5026850439
50	0.5000060115
51	0.497825736
52	0.4959439673
53	0.4933872841
54	0.4913045438
55	0.4890171912
56	0.4872611875
57	0.4854254066
58	0.4829383066
59	0.4810509131
60	0.4796563657
61	0.4775400646
62	0.47614501
63	0.4745317522
64	0.4725506478
65	0.4708092635
66	0.4693886485
67	0.4678391849
68	0.4664609681
69	0.4651738194
70	0.4634664596
71	0.461462169
72	0.460446052
73	0.4590693362
74	0.4581162519
75	0.456999315
76	0.4557226262
77	0.4545741643
78	0.4531753998
79	0.4518119631
80	0.4507712947
81	0.4496064704
82	0.448453188
83	0.4474930765
84	0.4463299662
85	0.4449540711
86	0.4436384648
87	0.4422080167
88	0.4414490056
89	0.4402941407
90	0.4393791153
91	0.4384016921
92	0.4367923786
93	0.4359213696
94	0.4344277537
95	0.433271704
96	0.4322425214
97	0.4316894493
98	0.4307591508
99	0.429802387
100	0.4292608021
101	0.4279075483
102	0.4270677686
103	0.4258122166
104	0.4250054376
105	0.4239842056
106	0.4233655993
107	0.4227711727
108	0.421808722
109	0.4204076695
110	0.4198276392
111	0.4191557206
112	0.4180406087
113	0.4171898945
114	0.4164158823
115	0.4154244022
116	0.4147288883
117	0.4139034922
118	0.4128616332
119	0.4125006658
120	0.4116820047
121	0.4110360377
122	0.4101223352
123	0.4088019559
124	0.408098756
125	0.4072818525
126	0.4067625711
127	0.4056669058
128	0.4048087788
129	0.4044969928
130	0.4037676704
131	0.4030576378
132	0.4022497959
133	0.4017956466
134	0.4009321753
135	0.4004952818
136	0.3998800844
137	0.3992082205
138	0.3985800548
139	0.3978479355
140	0.3971982469
141	0.3966101705
142	0.3960075682
143	0.3955135984
144	0.3951503531
145	0.3945546101
146	0.3940623635
147	0.3934243756
148	0.3926907963
149	0.3922643353
150	0.3918127827
151	0.3913632019
152	0.3906734283
153	0.3902582438
154	0.3895387768
155	0.388774864
156	0.387988772
157	0.3876120423
158	0.3871612513
159	0.3865821367
160	0.3859745618
161	0.3854752521
162	0.3850064301
163	0.3845465977
164	0.3843419423
165	0.3836918646
166	0.3830506523
167	0.382702891
168	0.3822156464
169	0.3819460138
170	0.3816269386
171	0.3809641535
172	0.3805157365
173	0.3801542363
174	0.3796784457
175	0.3791349647
176	0.3787706768
177	0.3784011028
178	0.3779169041
179	0.377460148
180	0.3771512522
181	0.3766839981
182	0.3762509079
183	0.3760199694
184	0.3755973279
185	0.3752313229
186	0.3748701315
187	0.374706113
188	0.3743097396
189	0.3740083828
190	0.3738136602
191	0.3734581644
192	0.3729480824
193	0.3726720345
194	0.3721479834
195	0.3719298072
196	0.3710662379
197	0.3707073414
198	0.3704478932
199	0.369896102
200	0.3695010178
201	0.3691133147
202	0.3688374318
203	0.3684460343
204	0.3681699452
205	0.3675145945
206	0.3670261531
207	0.3667971496
208	0.3665913165
209	0.3660427328
210	0.3658252623
211	0.365154618
212	0.3647279825
213	0.364306809
214	0.3639152879
215	0.3633184431
216	0.3627415189
217	0.3623731519
218	0.3620556717
219	0.3616207925
220	0.3614503743
221	0.3609701149
222	0.3605823897
223	0.3601367288
224	0.3595989803
225	0.3594245453
226	0.3588056601
227	0.3584951774
228	0.358276769
229	0.3578518422
230	0.3576168239
231	0.3574546656
232	0.3572184418
233	0.3566543345
