iter	Passed	Remaining
413	3554	5031
414	3563	5023
415	3571	5013
416	3579	5005
417	3588	4995
418	3596	4987
419	3605	4978
420	3614	4970
421	3622	4961
422	3631	4953
423	3639	4943
424	3648	4935
425	3657	4928
426	3666	4919
427	3674	4910
428	3683	4902
429	3691	4892
430	3699	4884
431	3708	4875
432	3716	4866
433	3724	4857
434	3733	4848
435	3740	4839
436	3749	4830
437	3758	4822
438	3766	4813
439	3774	4804
440	3782	4794
441	3790	4785
442	3799	4776
443	3807	4768
444	3815	4759
445	3824	4750
446	3832	4741
447	3840	4732
448	3849	4724
449	3858	4716
450	3866	4706
451	3874	4697
452	3882	4688
453	3890	4678
454	3898	4669
455	3906	4660
456	3915	4651
457	3923	4643
458	3931	4633
459	3939	4624
460	3948	4616
461	3957	4608
462	3965	4599
463	3974	4591
464	3982	4581
465	3990	4573
466	3999	4564
467	4008	4556
468	4017	4548
469	4026	4540
470	4035	4532
471	4044	4524
472	4053	4516
473	4063	4508
474	4072	4500
475	4080	4491
476	4088	4483
477	4096	4473
478	4105	4465
479	4113	4456
480	4121	4447
481	4130	4438
482	4138	4430
483	4146	4421
484	4156	4413
485	4164	4404
486	4173	4395
487	4181	4386
488	4189	4378
489	4197	4369
490	4206	4361
491	4214	4351
492	4223	4343
493	4231	4333
494	4239	4325
495	4247	4316
496	4255	4307
497	4263	4298
498	4272	4289
499	4280	4280
500	4289	4272
501	4297	4263
502	4305	4253
503	4313	4245
504	4321	4236
505	4330	4227
506	4339	4219
507	4347	4210
508	4355	4201
509	4364	4192
510	4372	4184
511	4380	4175
512	4388	4166
513	4397	4158
514	4405	4149
515	4413	4139
516	4421	4130
517	4429	4122
518	4437	4112
519	4445	4103
520	4453	4094
521	4461	4085
522	4471	4078
523	4480	4069
524	4488	4061
525	4497	4052
526	4505	4044
527	4514	4035
528	4522	4026
529	4531	4018
530	4539	4009
531	4547	4000
532	4556	3991
533	4565	3983
534	4573	3975
535	4581	3966
536	4590	3957
537	4598	3949
538	4607	3940
539	4616	3932
540	4624	3923
541	4632	3914
542	4640	3905
543	4648	3896
544	4657	3888
545	4666	3880
546	4674	3871
547	4682	3862
548	4690	3853
549	4698	3844
550	4706	3835
551	4714	3826
552	4723	3817
553	4731	3808
554	4739	3800
555	4747	3791
556	4755	3782
557	4764	3774
558	4774	3766
559	4783	3758
560	4792	3750
561	4801	3742
562	4811	3734
563	4819	3725
564	4827	3716
565	4835	3707
566	4844	3699
567	4852	3690
568	4860	3681
569	4868	3672
570	4878	3665
571	4886	3656
572	4895	3647
573	4903	3639
574	4912	3630
575	4920	3621
576	4928	3612
577	4936	3604
578	4944	3595
579	4952	3586
580	4960	3577
581	4968	3568
582	4977	3559
583	4985	3551
584	4994	3542
585	5002	3534
586	5010	3525
587	5018	3516
588	5026	3507
589	5034	3498
590	5042	3489
591	5051	3481
592	5059	3472
593	5067	3463
594	5075	3455
595	5084	3446
596	5092	3437
597	5100	3428
598	5109	3420
599	5118	3412
600	5126	3403
601	5135	3395
602	5143	3386
603	5152	3378
604	5160	3369
605	5170	3361
606	5178	3352
607	5187	3344
608	5195	3335
609	5204	3327
610	5212	3318
611	5220	3309
612	5228	3301
613	5237	3292
614	5245	3283
615	5253	3274
616	5261	3266
617	5270	3257
618	5277	3248
619	5285	3239
620	5293	3230
621	5302	3222
622	5310	3213
623	5319	3205
624	5328	3196
625	5336	3188
626	5344	3179
627	5353	3170
628	5361	3162
629	5369	3153
630	5378	3145
631	5385	3136
632	5394	3127
633	5402	3118
634	5411	3110
635	5419	3101
636	5428	3093
637	5437	3085
638	5445	3076
639	5453	3067
640	5461	3059
641	5469	3050
642	5478	3041
643	5486	3032
644	5495	3024
645	5503	3015
646	5512	3007
647	5520	2998
648	5529	2990
649	5537	2981
650	5545	2973
651	5553	2964
652	5562	2955
653	5570	2947
654	5579	2938
655	5587	2929
656	5596	2921
657	5604	2912
658	5612	2904
659	5621	2895
660	5630	2887
661	5638	2879
662	5647	2870
663	5655	2861
664	5663	2853
665	5672	2844
666	5680	2835
667	5688	2827
668	5697	2818
669	5706	2810
670	5714	2801
671	5723	2793
672	5732	2785
673	5741	2777
674	5749	2768
675	5758	2759
676	5765	2750
677	5774	2742
678	5782	2733
679	5791	2725
680	5799	2716
681	5808	2708
682	5816	2699
683	5825	2691
684	5833	2682
685	5841	2673
686	5849	2665
687	5858	2656
688	5865	2647
689	5874	2639
690	5882	2630
691	5891	2622
692	5899	2613
693	5907	2604
694	5916	2596
695	5925	2587
696	5933	2579
697	5942	2570
698	5950	2562
699	5958	2553
700	5966	2544
701	5974	2536
702	5983	2527
703	5990	2518
704	5999	2510
705	6007	2501
706	6016	2493
707	6024	2484
708	6032	2476
709	6041	2467
710	6051	2459
711	6060	2451
712	6069	2443
713	6079	2435
714	6087	2426
715	6096	2418
716	6105	2409
717	6113	2401
718	6122	2392
719	6132	2384
720	6144	2377
721	6154	2369
722	6164	2361
723	6173	2353
724	6184	2345
725	6193	2337
726	6203	2329
727	6214	2321
728	6224	2313
729	6234	2306
730	6246	2298
731	6257	2291
732	6267	2282
733	6277	2274
734	6287	2266
735	6298	2259
736	6307	2250
737	6318	2243
738	6329	2235
739	6339	2227
740	6349	2219
741	6359	2211
742	6369	2203
743	6379	2195
744	6388	2186
745	6399	2178
746	6408	2170
747	6418	2162
748	6427	2154
749	6437	2145
750	6447	2137
751	6457	2129
752	6469	2122
753	6479	2114
754	6488	2105
755	6499	2097
756	6509	2089
757	6519	2081
758	6530	2073
759	6542	2066
760	6553	2058
761	6563	2050
762	6574	2042
763	6584	2034
764	6595	2025
765	6604	2017
766	6614	2009
767	6626	2001
768	6635	1993
769	6645	1985
770	6657	1977
771	6666	1968
772	6676	1960
773	6686	1952
774	6696	1944
775	6707	1936
776	6716	1927
777	6726	1919
778	6737	1911
779	6746	1902
780	6756	1894
781	6765	1885
782	6776	1878
783	6786	1869
784	6795	1861
785	6805	1853
786	6815	1844
787	6825	1836
788	6835	1828
789	6845	1819
790	6856	1811
791	6867	1803
792	6877	1795
793	6890	1787
794	6904	1780
795	6919	1773
796	6934	1766
797	6948	1758
798	6961	1751
799	6976	1744
800	6993	1737
801	7009	1730
802	7023	1723
803	7035	1715
804	7050	1707
805	7064	1700
806	7077	1692
807	7092	1685
808	7107	1678
809	7122	1670
810	7132	1662
811	7149	1655
812	7163	1647
813	7178	1640
814	7189	1631
815	7199	1623
816	7219	1617
817	7239	1610
818	7258	1604
819	7269	1595
820	7282	1587
821	7293	1579
822	7305	1571
823	7317	1562
824	7327	1554
825	7337	1545
826	7350	1537
827	7360	1528
828	7369	1520
829	7380	1511
830	7389	1502
831	7406	1495
832	7418	1487
833	7431	1479
834	7441	1470
835	7452	1461
836	7462	1453
837	7472	1444
838	7482	1435
839	7492	1427
840	7502	1418
841	7514	1410
842	7524	1401
843	7534	1392
844	7544	1383
845	7554	1375
846	7565	1366
847	7574	1357
848	7585	1349
849	7596	1340
850	7608	1332
851	7618	1323
852	7629	1314
853	7640	1306
854	7650	1297
855	7660	1288
856	7670	1279
857	7681	1271
858	7692	1262
859	7701	1253
860	7712	1245
861	7721	1236
862	7732	1227
863	7742	1218
864	7751	1209
865	7762	1201
866	7773	1192
867	7782	1183
868	7794	1174
869	7805	1166
870	7820	1158
871	7831	1149
872	7842	1140
873	7853	1132
874	7863	1123
875	7874	1114
876	7883	1105
877	7893	1096
878	7906	1088
879	7915	1079
880	7925	1070
881	7938	1062
882	7947	1053
883	7958	1044
884	7968	1035
885	7977	1026
886	7988	1017
887	7999	1008
888	8010	1000
889	8023	991
890	8033	982
891	8043	973
892	8053	964
893	8063	956
894	8074	947
895	8085	938
896	8095	929
897	8110	921
898	8121	912
899	8134	903
900	8145	894
901	8156	886
902	8166	877
903	8176	868
904	8187	859
905	8197	850
906	8207	841
907	8219	832
908	8229	823
909	8238	814
910	8252	806
911	8263	797
912	8272	788
913	8282	779
914	8293	770
915	8303	761
916	8314	752
917	8324	743
918	8335	734
919	8345	725
920	8355	716
921	8366	707
922	8375	698
923	8385	689
924	8396	680
925	8405	671
926	8416	662
927	8427	653
928	8436	644
929	8446	635
930	8456	626
931	8467	617
932	8479	608
933	8489	599
934	8500	590
935	8511	581
936	8520	572
937	8531	563
938	8542	554
939	8552	545
940	8566	537
941	8577	528
942	8586	519
943	8597	510
944	8607	500
945	8616	491
946	8627	482
947	8637	473
948	8649	464
949	8660	455
950	8670	446
951	8680	437
952	8690	428
953	8699	419
954	8709	410
955	8719	401
956	8729	392
957	8739	383
958	8748	374
959	8760	365
960	8769	355
961	8780	346
962	8791	337
963	8802	328
964	8812	319
965	8824	310
966	8836	301
967	8847	292
968	8858	283
969	8869	274
970	8880	265
971	8893	256
972	8905	247
973	8915	237
974	8928	228
975	8942	219
976	8952	210
977	8962	201
978	8973	192
979	8986	183
980	8998	174
981	9010	165
982	9021	156
983	9033	146
984	9044	137
985	9057	128
986	9068	119
987	9079	110
988	9101	101
989	9113	92
990	9126	82
991	9137	73
992	9146	64
993	9157	55
994	9169	46
995	9179	36
996	9193	27
997	9205	18
998	9217	9
999	9227	0
